sensor,bucket,timestamp,value,type
['kitchen_PIR'],1_5_9,1730913163000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913190000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913206000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913217000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913231000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913243000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913267000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913275000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913289000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913299000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913316000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913332000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913349000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913365000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913376000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913388000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913402000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913418000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913430000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913444000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913459000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913469000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730913491000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730919350000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730919360000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730919370000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730919393000.0,kitchen,sensor
['kitchen_PIR'],1_5_9,1730919402000.0,kitchen,sensor
