group_id,value,start_time,end_time,duration,duration_seconds
220,bathroom,2024-12-14 19:25:54.412,2024-12-14 19:25:54.412,0 days 00:00:00,0.0
221,kitchen,2024-12-14 19:26:03.759,2024-12-14 19:26:27.056,0 days 00:00:23.297000,23.297
222,bathroom,2024-12-14 19:26:48.889,2024-12-14 19:28:00.787,0 days 00:01:11.898000,71.898
223,kitchen,2024-12-14 19:31:39.806,2024-12-14 19:33:31.465,0 days 00:01:51.659000,111.659
224,bathroom,2024-12-14 19:33:32.161,2024-12-14 19:33:32.161,0 days 00:00:00,0.0
225,kitchen,2024-12-14 19:33:32.771,2024-12-14 19:33:40.581,0 days 00:00:07.810000,7.8100000000000005
226,bathroom,2024-12-14 19:33:40.957,2024-12-14 19:33:40.957,0 days 00:00:00,0.0
227,kitchen,2024-12-14 19:33:49.607,2024-12-14 19:35:01.585,0 days 00:01:11.978000,71.978
228,bathroom,2024-12-14 19:35:12.141,2024-12-14 19:35:12.141,0 days 00:00:00,0.0
229,kitchen,2024-12-14 19:35:21.138,2024-12-14 19:35:44.545,0 days 00:00:23.407000,23.407
230,bathroom,2024-12-14 19:36:11.946,2024-12-14 19:36:11.946,0 days 00:00:00,0.0
231,kitchen,2024-12-14 19:36:14.608,2024-12-14 19:36:35.111,0 days 00:00:20.503000,20.503
232,bathroom,2024-12-14 19:36:39.737,2024-12-14 19:36:49.079,0 days 00:00:09.342000,9.342
233,kitchen,2024-12-14 19:37:06.366,2024-12-14 19:37:14.000,0 days 00:00:07.634000,7.634
234,bathroom,2024-12-14 19:37:32.613,2024-12-14 19:37:32.613,0 days 00:00:00,0.0
235,kitchen,2024-12-14 19:37:32.717,2024-12-14 19:37:32.717,0 days 00:00:00,0.0
236,bathroom,2024-12-14 19:37:39.879,2024-12-14 19:37:53.731,0 days 00:00:13.852000,13.852
237,kitchen,2024-12-14 19:44:22.812,2024-12-14 19:45:07.147,0 days 00:00:44.335000,44.335
238,bathroom,2024-12-14 19:45:11.321,2024-12-14 19:45:11.321,0 days 00:00:00,0.0
239,kitchen,2024-12-14 19:45:14.462,2024-12-14 19:45:14.462,0 days 00:00:00,0.0
240,bathroom,2024-12-14 19:45:21.633,2024-12-14 19:45:21.633,0 days 00:00:00,0.0
241,kitchen,2024-12-14 19:45:22.474,2024-12-14 19:45:22.474,0 days 00:00:00,0.0
242,bathroom,2024-12-14 19:45:42.929,2024-12-14 19:46:08.976,0 days 00:00:26.047000,26.047
243,kitchen,2024-12-14 19:46:20.321,2024-12-14 19:46:20.321,0 days 00:00:00,0.0
244,bathroom,2024-12-14 19:46:49.070,2024-12-14 19:55:19.400,0 days 00:08:30.330000,510.33
245,kitchen,2024-12-14 19:57:12.155,2024-12-14 19:58:23.447,0 days 00:01:11.292000,71.292
246,bathroom,2024-12-14 19:58:34.391,2024-12-14 19:58:34.391,0 days 00:00:00,0.0
247,kitchen,2024-12-14 19:58:40.191,2024-12-14 19:58:45.480,0 days 00:00:05.289000,5.289
248,bathroom,2024-12-14 19:59:27.811,2024-12-14 20:00:05.057,0 days 00:00:37.246000,37.246
249,kitchen,2024-12-14 20:33:56.157,2024-12-14 20:34:03.709,0 days 00:00:07.552000,7.552
250,bathroom,2024-12-14 20:36:13.741,2024-12-14 20:42:26.523,0 days 00:06:12.782000,372.782
251,kitchen,2024-12-14 20:43:44.743,2024-12-14 20:46:04.810,0 days 00:02:20.067000,140.067
252,bathroom,2024-12-14 21:08:02.394,2024-12-14 21:34:24.605,0 days 00:26:22.211000,1582.211
253,kitchen,2024-12-14 21:37:22.276,2024-12-14 21:39:06.033,0 days 00:01:43.757000,103.757
254,bathroom,2024-12-14 21:51:38.993,2024-12-15 00:19:14.433,0 days 02:27:35.440000,8855.44
255,kitchen,2024-12-15 07:42:37.709,2024-12-15 07:42:37.709,0 days 00:00:00,0.0
256,bathroom,2024-12-15 07:54:25.477,2024-12-15 07:54:38.349,0 days 00:00:12.872000,12.872
257,kitchen,2024-12-15 08:21:13.133,2024-12-15 09:11:16.501,0 days 00:50:03.368000,3003.368
258,bathroom,2024-12-15 09:13:32.933,2024-12-15 09:15:27.950,0 days 00:01:55.017000,115.017
259,kitchen,2024-12-15 09:23:41.529,2024-12-15 10:20:55.821,0 days 00:57:14.292000,3434.292
260,bathroom,2024-12-15 10:21:14.705,2024-12-15 10:21:51.459,0 days 00:00:36.754000,36.754
